user_id,click_article_id,click_timestamp,click_environment,click_deviceGroup,click_os,click_country,click_region,click_referrer_type
199999,160417,1507029570190,4,1,17,1,13,1
199999,5408,1507029571478,4,1,17,1,13,1
199999,50823,1507029601478,4,1,17,1,13,1
199998,157770,1507029532200,4,1,17,1,25,5
199998,96613,1507029671831,4,1,17,1,25,5
199998,144978,1507029804858,4,1,17,1,25,5
199998,285371,1507029834858,4,1,17,1,25,5
199997,224171,1507029683061,4,1,17,1,16,1
199997,223931,1507029713061,4,1,17,1,16,1
199996,299697,1507029600494,4,1,17,1,25,2
199996,16129,1507029630494,4,1,17,1,25,2
199995,336476,1507029932156,4,1,17,1,25,2
199995,283933,1507030067806,4,1,17,1,25,1
199995,353667,1507030097806,4,1,17,1,25,1
199994,235230,1507053409054,4,1,17,1,8,2
199994,271551,1507055176032,4,1,17,1,8,2
199994,236444,1507292778083,4,1,17,1,8,2
199994,236951,1507295091338,4,1,17,1,8,2
199994,205973,1507300936624,4,1,17,1,8,2
199994,286209,1507321585590,4,1,17,1,8,2
199994,293050,1507321615590,4,1,17,1,8,2
199993,5408,1507029685414,4,3,2,1,25,1
199993,107301,1507029792652,4,3,2,1,25,1
199993,64329,1507029822652,4,3,2,1,25,1
199992,272143,1507029683969,4,1,17,1,25,2
199992,348111,1507029702470,4,1,17,1,25,2
199992,299697,1507029732470,4,1,17,1,25,2
199991,156624,1507029584077,4,1,17,1,2,2
199991,160417,1507029620497,4,1,17,1,2,2
199991,158536,1507030059676,4,1,17,1,2,1
199991,156447,1507030059828,4,1,17,1,2,1
199991,156808,1507030089828,4,1,17,1,2,1
199990,272143,1507029564434,4,1,17,1,7,5
199990,198659,1507029670707,4,1,17,1,7,1
199990,84629,1507029700707,4,1,17,1,7,1
199989,160417,1507029634489,4,1,17,1,10,1
199989,156624,1507029634566,4,1,17,1,10,1
199989,64329,1507029656048,4,1,17,1,10,1
199989,96077,1507029769607,4,1,17,1,10,1
199989,111681,1507029905795,4,1,17,1,10,1
199989,111639,1507029949063,4,1,17,1,10,1
199989,111088,1507030011771,4,1,17,1,10,1
199989,110907,1507030041771,4,1,17,1,10,1
199988,156624,1507029582008,4,3,20,6,28,2
199988,160974,1507029612008,4,3,20,6,28,2
199987,272143,1507029551778,4,1,17,1,24,5
199987,336476,1507030811783,4,1,17,1,24,2
199987,64329,1507030841783,4,1,17,1,24,2
199986,5408,1507029596628,4,3,2,1,25,1
199986,272143,1507029626628,4,3,2,1,25,1
199985,284474,1507029935334,4,1,17,1,25,2
199985,233917,1507029965334,4,1,17,1,25,2
199984,70594,1507029553199,4,3,2,1,5,7
199984,272143,1507029583199,4,3,2,1,5,7
199983,162655,1507029902370,4,1,17,1,16,1
199983,158082,1507029932370,4,1,17,1,16,1
199982,156624,1507029692899,4,4,20,1,21,1
199982,156447,1507029954121,4,4,20,1,21,1
199982,149623,1507029984121,4,4,20,1,21,1
199981,149599,1507029611062,4,1,17,1,24,1
199981,158019,1507030070740,4,1,17,1,24,1
199981,272143,1507030233943,4,1,17,1,24,1
199981,198659,1507030255295,4,1,17,1,24,1
199981,162655,1507030311140,4,1,17,1,24,1
199981,208077,1507031117212,4,1,17,1,24,1
199981,199198,1507034777010,4,1,17,1,24,5
199981,224658,1507034967756,4,1,17,1,24,1
199981,64329,1507035068810,4,1,17,1,24,1
199981,202557,1507035155424,4,1,17,1,24,1
199981,298310,1507035286355,4,1,17,1,24,1
199981,225463,1507035404341,4,1,17,1,24,1
199981,70755,1507035725593,4,1,17,1,24,1
199981,225055,1507036151381,4,1,17,1,24,1
199981,207024,1507036315679,4,1,17,1,24,1
199981,39857,1507036345679,4,1,17,1,24,1
199980,336476,1507031377354,4,3,2,1,25,2
199980,199198,1507031407354,4,3,2,1,25,2
199979,348111,1507030290248,4,1,17,1,8,2
199979,199198,1507031116943,4,1,17,1,8,2
199979,96077,1507031146943,4,1,17,1,8,2
199978,348111,1507029792107,4,1,17,1,24,2
199978,299697,1507029822107,4,1,17,1,24,2
199977,175040,1507035502039,4,1,17,1,8,2
199977,156560,1507041498823,4,1,17,1,8,1
199977,182513,1507041528823,4,1,17,1,8,1
199976,284547,1507046967620,4,1,17,1,13,2
199976,129029,1507046997620,4,1,17,1,13,2
199975,336476,1507030766699,4,3,2,1,25,2
199975,272143,1507030796699,4,3,2,1,25,2
199974,50823,1507030118107,4,1,17,1,16,1
199974,224171,1507030268713,4,1,17,1,16,1
199974,162655,1507030477270,4,1,17,1,16,1
199974,65373,1507031014976,4,1,17,1,16,1
199974,156560,1507031044976,4,1,17,1,16,1
199973,156624,1507029587080,4,1,17,1,16,2
199973,158229,1507029591819,4,1,17,1,16,2
199973,160417,1507029621819,4,1,17,1,16,2
199972,313431,1507052104467,4,1,17,1,5,2
199972,199197,1507052216371,4,1,17,1,5,2
199972,271551,1507052246371,4,1,17,1,5,2
